Index: 18530 | Uncertainty: 0.7882
Index: 12837 | Uncertainty: 0.7780
Index: 6322 | Uncertainty: 0.7723
Index: 49468 | Uncertainty: 0.7658
Index: 30878 | Uncertainty: 0.7620
Index: 16493 | Uncertainty: 0.7612
Index: 48904 | Uncertainty: 0.7588
Index: 4121 | Uncertainty: 0.7580
Index: 9632 | Uncertainty: 0.7561
Index: 10846 | Uncertainty: 0.7550
Index: 20315 | Uncertainty: 0.7536
Index: 13739 | Uncertainty: 0.7515
Index: 21075 | Uncertainty: 0.7510
Index: 18011 | Uncertainty: 0.7465
Index: 44505 | Uncertainty: 0.7453
Index: 9680 | Uncertainty: 0.7443
Index: 35704 | Uncertainty: 0.7433
Index: 11655 | Uncertainty: 0.7417
Index: 43003 | Uncertainty: 0.7407
Index: 5599 | Uncertainty: 0.7373
Index: 8678 | Uncertainty: 0.7343
Index: 23612 | Uncertainty: 0.7331
Index: 30301 | Uncertainty: 0.7326
Index: 14279 | Uncertainty: 0.7325
Index: 684 | Uncertainty: 0.7324
Index: 47629 | Uncertainty: 0.7315
Index: 44640 | Uncertainty: 0.7315
Index: 49521 | Uncertainty: 0.7311
Index: 29038 | Uncertainty: 0.7303
Index: 14485 | Uncertainty: 0.7282
Index: 44953 | Uncertainty: 0.7277
Index: 30834 | Uncertainty: 0.7277
Index: 9343 | Uncertainty: 0.7264
Index: 16452 | Uncertainty: 0.7257
Index: 10737 | Uncertainty: 0.7249
Index: 11031 | Uncertainty: 0.7222
Index: 6033 | Uncertainty: 0.7213
Index: 33516 | Uncertainty: 0.7212
Index: 25194 | Uncertainty: 0.7210
Index: 44108 | Uncertainty: 0.7201
Index: 37880 | Uncertainty: 0.7196
Index: 34579 | Uncertainty: 0.7190
Index: 11795 | Uncertainty: 0.7184
Index: 1569 | Uncertainty: 0.7163
Index: 19286 | Uncertainty: 0.7159
Index: 14727 | Uncertainty: 0.7159
Index: 1341 | Uncertainty: 0.7157
Index: 44339 | Uncertainty: 0.7145
Index: 23165 | Uncertainty: 0.7141
Index: 44211 | Uncertainty: 0.7141
Index: 19256 | Uncertainty: 0.7140
Index: 42963 | Uncertainty: 0.7140
Index: 11625 | Uncertainty: 0.7139
Index: 13189 | Uncertainty: 0.7134
Index: 40196 | Uncertainty: 0.7130
Index: 22597 | Uncertainty: 0.7126
Index: 17981 | Uncertainty: 0.7124
Index: 39794 | Uncertainty: 0.7124
Index: 41442 | Uncertainty: 0.7117
Index: 39267 | Uncertainty: 0.7114
Index: 35519 | Uncertainty: 0.7112
Index: 46594 | Uncertainty: 0.7100
Index: 27641 | Uncertainty: 0.7097
Index: 49797 | Uncertainty: 0.7089
Index: 8970 | Uncertainty: 0.7086
Index: 342 | Uncertainty: 0.7085
Index: 18946 | Uncertainty: 0.7083
Index: 2739 | Uncertainty: 0.7078
Index: 17491 | Uncertainty: 0.7076
Index: 6876 | Uncertainty: 0.7073
Index: 9146 | Uncertainty: 0.7059
Index: 16047 | Uncertainty: 0.7058
Index: 35274 | Uncertainty: 0.7051
Index: 16184 | Uncertainty: 0.7044
Index: 49102 | Uncertainty: 0.7044
Index: 10825 | Uncertainty: 0.7043
Index: 27065 | Uncertainty: 0.7042
Index: 23314 | Uncertainty: 0.7037
Index: 21705 | Uncertainty: 0.7036
Index: 18146 | Uncertainty: 0.7028
Index: 14123 | Uncertainty: 0.7026
Index: 11746 | Uncertainty: 0.7016
Index: 41132 | Uncertainty: 0.7011
Index: 23976 | Uncertainty: 0.7008
Index: 9320 | Uncertainty: 0.7007
Index: 13310 | Uncertainty: 0.7007
Index: 12899 | Uncertainty: 0.7005
Index: 29010 | Uncertainty: 0.6994
Index: 46118 | Uncertainty: 0.6992
Index: 9746 | Uncertainty: 0.6989
Index: 25492 | Uncertainty: 0.6987
Index: 43367 | Uncertainty: 0.6987
Index: 42074 | Uncertainty: 0.6987
Index: 36706 | Uncertainty: 0.6985
Index: 21898 | Uncertainty: 0.6979
Index: 45719 | Uncertainty: 0.6973
Index: 17531 | Uncertainty: 0.6969
Index: 18006 | Uncertainty: 0.6968
Index: 28283 | Uncertainty: 0.6963
Index: 30332 | Uncertainty: 0.6960
Index: 29493 | Uncertainty: 0.6955
Index: 12237 | Uncertainty: 0.6950
Index: 15708 | Uncertainty: 0.6945
Index: 8597 | Uncertainty: 0.6942
Index: 34855 | Uncertainty: 0.6941
Index: 9311 | Uncertainty: 0.6940
Index: 45901 | Uncertainty: 0.6935
Index: 38527 | Uncertainty: 0.6931
Index: 24388 | Uncertainty: 0.6931
Index: 25468 | Uncertainty: 0.6918
Index: 48015 | Uncertainty: 0.6918
Index: 6335 | Uncertainty: 0.6914
Index: 25965 | Uncertainty: 0.6913
Index: 39187 | Uncertainty: 0.6905
Index: 3920 | Uncertainty: 0.6903
Index: 34942 | Uncertainty: 0.6902
Index: 24304 | Uncertainty: 0.6901
Index: 37427 | Uncertainty: 0.6898
Index: 49531 | Uncertainty: 0.6895
Index: 38988 | Uncertainty: 0.6888
Index: 43492 | Uncertainty: 0.6880
Index: 3491 | Uncertainty: 0.6877
Index: 19293 | Uncertainty: 0.6876
Index: 638 | Uncertainty: 0.6869
Index: 39718 | Uncertainty: 0.6866
Index: 248 | Uncertainty: 0.6864
Index: 45382 | Uncertainty: 0.6859
Index: 3406 | Uncertainty: 0.6856
Index: 21211 | Uncertainty: 0.6856
Index: 37167 | Uncertainty: 0.6855
Index: 11847 | Uncertainty: 0.6854
Index: 42273 | Uncertainty: 0.6851
Index: 33863 | Uncertainty: 0.6841
Index: 21513 | Uncertainty: 0.6840
Index: 8643 | Uncertainty: 0.6838
Index: 21672 | Uncertainty: 0.6835
Index: 8635 | Uncertainty: 0.6829
Index: 18520 | Uncertainty: 0.6829
Index: 42893 | Uncertainty: 0.6825
Index: 28609 | Uncertainty: 0.6824
Index: 16390 | Uncertainty: 0.6823
Index: 17555 | Uncertainty: 0.6817
Index: 3967 | Uncertainty: 0.6815
Index: 1426 | Uncertainty: 0.6815
Index: 5767 | Uncertainty: 0.6814
Index: 246 | Uncertainty: 0.6810
Index: 4195 | Uncertainty: 0.6808
Index: 32618 | Uncertainty: 0.6799
Index: 40650 | Uncertainty: 0.6796
Index: 14237 | Uncertainty: 0.6796
Index: 5072 | Uncertainty: 0.6794
Index: 48758 | Uncertainty: 0.6793
Index: 44023 | Uncertainty: 0.6792
Index: 3803 | Uncertainty: 0.6791
Index: 9624 | Uncertainty: 0.6790
Index: 13709 | Uncertainty: 0.6789
Index: 34763 | Uncertainty: 0.6787
Index: 23779 | Uncertainty: 0.6784
Index: 1039 | Uncertainty: 0.6782
Index: 14465 | Uncertainty: 0.6780
Index: 14558 | Uncertainty: 0.6780
Index: 15740 | Uncertainty: 0.6777
Index: 24249 | Uncertainty: 0.6777
Index: 10066 | Uncertainty: 0.6777
Index: 27572 | Uncertainty: 0.6777
Index: 3451 | Uncertainty: 0.6775
Index: 36402 | Uncertainty: 0.6775
Index: 24508 | Uncertainty: 0.6773
Index: 39384 | Uncertainty: 0.6769
Index: 18164 | Uncertainty: 0.6766
Index: 17504 | Uncertainty: 0.6764
Index: 48037 | Uncertainty: 0.6761
Index: 14663 | Uncertainty: 0.6758
Index: 30864 | Uncertainty: 0.6756
Index: 146 | Uncertainty: 0.6755
Index: 35971 | Uncertainty: 0.6754
Index: 8380 | Uncertainty: 0.6753
Index: 11211 | Uncertainty: 0.6750
Index: 34812 | Uncertainty: 0.6749
Index: 7643 | Uncertainty: 0.6748
Index: 43292 | Uncertainty: 0.6748
Index: 44919 | Uncertainty: 0.6748
Index: 42141 | Uncertainty: 0.6745
Index: 37496 | Uncertainty: 0.6744
Index: 21129 | Uncertainty: 0.6736
Index: 48528 | Uncertainty: 0.6733
Index: 31178 | Uncertainty: 0.6732
Index: 7142 | Uncertainty: 0.6730
Index: 398 | Uncertainty: 0.6729
Index: 3302 | Uncertainty: 0.6728
Index: 16872 | Uncertainty: 0.6725
Index: 24432 | Uncertainty: 0.6724
Index: 4779 | Uncertainty: 0.6723
Index: 15566 | Uncertainty: 0.6716
Index: 10398 | Uncertainty: 0.6716
Index: 41102 | Uncertainty: 0.6715
Index: 12472 | Uncertainty: 0.6714
Index: 35323 | Uncertainty: 0.6714
Index: 39716 | Uncertainty: 0.6712
Index: 42417 | Uncertainty: 0.6711
Index: 27168 | Uncertainty: 0.6709
Index: 7967 | Uncertainty: 0.6709
Index: 28986 | Uncertainty: 0.6706
Index: 6849 | Uncertainty: 0.6706
Index: 26325 | Uncertainty: 0.6704
Index: 18655 | Uncertainty: 0.6700
Index: 40772 | Uncertainty: 0.6699
Index: 12032 | Uncertainty: 0.6697
Index: 2569 | Uncertainty: 0.6697
Index: 18288 | Uncertainty: 0.6694
Index: 44814 | Uncertainty: 0.6692
Index: 36411 | Uncertainty: 0.6690
Index: 19929 | Uncertainty: 0.6690
Index: 43534 | Uncertainty: 0.6689
Index: 17044 | Uncertainty: 0.6689
Index: 43734 | Uncertainty: 0.6687
Index: 44257 | Uncertainty: 0.6685
Index: 40756 | Uncertainty: 0.6684
Index: 18044 | Uncertainty: 0.6683
Index: 12853 | Uncertainty: 0.6682
Index: 49695 | Uncertainty: 0.6682
Index: 34330 | Uncertainty: 0.6681
Index: 41553 | Uncertainty: 0.6681
Index: 21409 | Uncertainty: 0.6679
Index: 7107 | Uncertainty: 0.6678
Index: 9737 | Uncertainty: 0.6677
Index: 30392 | Uncertainty: 0.6673
Index: 44779 | Uncertainty: 0.6671
Index: 45994 | Uncertainty: 0.6669
Index: 5050 | Uncertainty: 0.6666
Index: 30820 | Uncertainty: 0.6665
Index: 11918 | Uncertainty: 0.6662
Index: 19515 | Uncertainty: 0.6661
Index: 42360 | Uncertainty: 0.6658
Index: 25219 | Uncertainty: 0.6656
