Index: 47473 | Uncertainty: 0.7497
Index: 18466 | Uncertainty: 0.7205
Index: 38114 | Uncertainty: 0.7158
Index: 13299 | Uncertainty: 0.7151
Index: 3279 | Uncertainty: 0.7071
Index: 49571 | Uncertainty: 0.7068
Index: 11983 | Uncertainty: 0.7020
Index: 1769 | Uncertainty: 0.7004
Index: 6143 | Uncertainty: 0.7001
Index: 4826 | Uncertainty: 0.6979
Index: 27702 | Uncertainty: 0.6932
Index: 38264 | Uncertainty: 0.6827
Index: 38112 | Uncertainty: 0.6825
Index: 12703 | Uncertainty: 0.6824
Index: 36989 | Uncertainty: 0.6809
Index: 39223 | Uncertainty: 0.6807
Index: 34408 | Uncertainty: 0.6792
Index: 23980 | Uncertainty: 0.6759
Index: 26591 | Uncertainty: 0.6749
Index: 44209 | Uncertainty: 0.6733
Index: 1319 | Uncertainty: 0.6726
Index: 39163 | Uncertainty: 0.6718
Index: 12740 | Uncertainty: 0.6718
Index: 29202 | Uncertainty: 0.6717
Index: 10154 | Uncertainty: 0.6691
Index: 19945 | Uncertainty: 0.6666
Index: 2627 | Uncertainty: 0.6651
Index: 48470 | Uncertainty: 0.6650
Index: 6916 | Uncertainty: 0.6650
Index: 16173 | Uncertainty: 0.6614
Index: 40940 | Uncertainty: 0.6593
Index: 18023 | Uncertainty: 0.6587
Index: 26537 | Uncertainty: 0.6581
Index: 5048 | Uncertainty: 0.6578
Index: 15920 | Uncertainty: 0.6572
Index: 48 | Uncertainty: 0.6571
Index: 22323 | Uncertainty: 0.6553
Index: 2233 | Uncertainty: 0.6552
Index: 4338 | Uncertainty: 0.6540
Index: 5214 | Uncertainty: 0.6533
Index: 1254 | Uncertainty: 0.6530
Index: 43570 | Uncertainty: 0.6523
Index: 18445 | Uncertainty: 0.6521
Index: 17502 | Uncertainty: 0.6502
Index: 38737 | Uncertainty: 0.6501
Index: 23400 | Uncertainty: 0.6498
Index: 24877 | Uncertainty: 0.6496
Index: 22178 | Uncertainty: 0.6474
Index: 31702 | Uncertainty: 0.6473
Index: 34015 | Uncertainty: 0.6470
Index: 3522 | Uncertainty: 0.6461
Index: 42827 | Uncertainty: 0.6457
Index: 31944 | Uncertainty: 0.6446
Index: 34459 | Uncertainty: 0.6435
Index: 9028 | Uncertainty: 0.6427
Index: 46372 | Uncertainty: 0.6424
Index: 19785 | Uncertainty: 0.6419
Index: 9282 | Uncertainty: 0.6414
Index: 43709 | Uncertainty: 0.6413
Index: 44621 | Uncertainty: 0.6411
Index: 3876 | Uncertainty: 0.6407
Index: 45808 | Uncertainty: 0.6393
Index: 22843 | Uncertainty: 0.6379
Index: 31817 | Uncertainty: 0.6362
Index: 25426 | Uncertainty: 0.6360
Index: 46057 | Uncertainty: 0.6350
Index: 30304 | Uncertainty: 0.6345
Index: 28461 | Uncertainty: 0.6340
Index: 12355 | Uncertainty: 0.6333
Index: 13575 | Uncertainty: 0.6327
Index: 7844 | Uncertainty: 0.6322
Index: 37036 | Uncertainty: 0.6319
Index: 34454 | Uncertainty: 0.6316
Index: 12430 | Uncertainty: 0.6313
