Index: 47624 | Uncertainty: 0.8023
Index: 32776 | Uncertainty: 0.7952
Index: 37871 | Uncertainty: 0.7924
Index: 49367 | Uncertainty: 0.7920
Index: 38014 | Uncertainty: 0.7909
Index: 14285 | Uncertainty: 0.7818
Index: 17077 | Uncertainty: 0.7763
Index: 28226 | Uncertainty: 0.7759
Index: 36873 | Uncertainty: 0.7756
Index: 18207 | Uncertainty: 0.7752
Index: 12032 | Uncertainty: 0.7746
Index: 49402 | Uncertainty: 0.7715
Index: 35708 | Uncertainty: 0.7705
Index: 34662 | Uncertainty: 0.7704
Index: 5854 | Uncertainty: 0.7691
Index: 37974 | Uncertainty: 0.7669
Index: 41898 | Uncertainty: 0.7648
Index: 2282 | Uncertainty: 0.7647
Index: 33796 | Uncertainty: 0.7647
Index: 37553 | Uncertainty: 0.7644
Index: 31800 | Uncertainty: 0.7644
Index: 21342 | Uncertainty: 0.7643
Index: 14382 | Uncertainty: 0.7637
Index: 37025 | Uncertainty: 0.7631
Index: 6009 | Uncertainty: 0.7619
Index: 36218 | Uncertainty: 0.7610
Index: 22727 | Uncertainty: 0.7609
Index: 24974 | Uncertainty: 0.7597
Index: 29471 | Uncertainty: 0.7586
Index: 20201 | Uncertainty: 0.7546
Index: 48319 | Uncertainty: 0.7541
Index: 5880 | Uncertainty: 0.7539
Index: 6778 | Uncertainty: 0.7539
Index: 19966 | Uncertainty: 0.7530
Index: 47517 | Uncertainty: 0.7525
Index: 47147 | Uncertainty: 0.7522
Index: 42731 | Uncertainty: 0.7514
Index: 15409 | Uncertainty: 0.7514
Index: 38578 | Uncertainty: 0.7502
Index: 4445 | Uncertainty: 0.7491
Index: 2098 | Uncertainty: 0.7473
Index: 48016 | Uncertainty: 0.7461
Index: 20306 | Uncertainty: 0.7444
Index: 28676 | Uncertainty: 0.7439
Index: 35135 | Uncertainty: 0.7437
Index: 5229 | Uncertainty: 0.7414
Index: 39211 | Uncertainty: 0.7410
Index: 16148 | Uncertainty: 0.7406
Index: 12237 | Uncertainty: 0.7399
Index: 44572 | Uncertainty: 0.7393
Index: 49368 | Uncertainty: 0.7388
Index: 35284 | Uncertainty: 0.7384
Index: 26047 | Uncertainty: 0.7370
Index: 23570 | Uncertainty: 0.7369
Index: 4014 | Uncertainty: 0.7367
Index: 18922 | Uncertainty: 0.7359
Index: 32618 | Uncertainty: 0.7356
Index: 26772 | Uncertainty: 0.7343
Index: 28677 | Uncertainty: 0.7332
Index: 9215 | Uncertainty: 0.7331
Index: 36630 | Uncertainty: 0.7330
Index: 6079 | Uncertainty: 0.7330
Index: 23867 | Uncertainty: 0.7329
Index: 42184 | Uncertainty: 0.7326
Index: 48720 | Uncertainty: 0.7324
Index: 25355 | Uncertainty: 0.7314
Index: 22944 | Uncertainty: 0.7312
Index: 648 | Uncertainty: 0.7310
Index: 14104 | Uncertainty: 0.7307
Index: 24997 | Uncertainty: 0.7305
Index: 33299 | Uncertainty: 0.7303
Index: 30005 | Uncertainty: 0.7296
Index: 24432 | Uncertainty: 0.7296
Index: 10737 | Uncertainty: 0.7288
Index: 41130 | Uncertainty: 0.7266
Index: 17664 | Uncertainty: 0.7248
Index: 29990 | Uncertainty: 0.7248
Index: 38593 | Uncertainty: 0.7242
Index: 16756 | Uncertainty: 0.7237
Index: 33616 | Uncertainty: 0.7224
Index: 36134 | Uncertainty: 0.7221
Index: 38293 | Uncertainty: 0.7212
Index: 33924 | Uncertainty: 0.7206
Index: 26482 | Uncertainty: 0.7205
Index: 24707 | Uncertainty: 0.7197
Index: 45901 | Uncertainty: 0.7194
Index: 14192 | Uncertainty: 0.7193
Index: 6754 | Uncertainty: 0.7191
Index: 18876 | Uncertainty: 0.7183
Index: 21107 | Uncertainty: 0.7179
Index: 14680 | Uncertainty: 0.7177
Index: 14837 | Uncertainty: 0.7176
Index: 43509 | Uncertainty: 0.7175
Index: 49132 | Uncertainty: 0.7173
Index: 15493 | Uncertainty: 0.7170
Index: 13361 | Uncertainty: 0.7169
Index: 41638 | Uncertainty: 0.7167
Index: 42463 | Uncertainty: 0.7167
Index: 26612 | Uncertainty: 0.7164
Index: 6094 | Uncertainty: 0.7158
Index: 32303 | Uncertainty: 0.7156
Index: 19959 | Uncertainty: 0.7153
Index: 41722 | Uncertainty: 0.7151
Index: 33185 | Uncertainty: 0.7151
Index: 38016 | Uncertainty: 0.7149
Index: 18096 | Uncertainty: 0.7149
Index: 33642 | Uncertainty: 0.7149
Index: 37389 | Uncertainty: 0.7149
Index: 19975 | Uncertainty: 0.7147
Index: 20987 | Uncertainty: 0.7146
Index: 33524 | Uncertainty: 0.7143
Index: 41286 | Uncertainty: 0.7139
Index: 40360 | Uncertainty: 0.7136
Index: 22621 | Uncertainty: 0.7133
Index: 1093 | Uncertainty: 0.7132
Index: 29821 | Uncertainty: 0.7132
Index: 7489 | Uncertainty: 0.7126
Index: 39067 | Uncertainty: 0.7120
Index: 40301 | Uncertainty: 0.7119
Index: 6287 | Uncertainty: 0.7118
Index: 41909 | Uncertainty: 0.7113
Index: 4359 | Uncertainty: 0.7110
Index: 25844 | Uncertainty: 0.7104
Index: 7165 | Uncertainty: 0.7104
Index: 1744 | Uncertainty: 0.7103
Index: 32746 | Uncertainty: 0.7094
Index: 42837 | Uncertainty: 0.7094
Index: 29392 | Uncertainty: 0.7094
Index: 33534 | Uncertainty: 0.7094
Index: 40098 | Uncertainty: 0.7093
Index: 39388 | Uncertainty: 0.7090
Index: 18064 | Uncertainty: 0.7088
Index: 5908 | Uncertainty: 0.7081
Index: 34590 | Uncertainty: 0.7078
Index: 10905 | Uncertainty: 0.7074
Index: 3338 | Uncertainty: 0.7073
Index: 27888 | Uncertainty: 0.7071
Index: 18135 | Uncertainty: 0.7069
Index: 3732 | Uncertainty: 0.7063
Index: 24282 | Uncertainty: 0.7062
Index: 2154 | Uncertainty: 0.7057
Index: 7257 | Uncertainty: 0.7052
Index: 29842 | Uncertainty: 0.7049
Index: 14291 | Uncertainty: 0.7046
Index: 30819 | Uncertainty: 0.7043
Index: 26602 | Uncertainty: 0.7043
Index: 12764 | Uncertainty: 0.7040
Index: 41589 | Uncertainty: 0.7039
Index: 43570 | Uncertainty: 0.7039
Index: 45199 | Uncertainty: 0.7039
Index: 44780 | Uncertainty: 0.7037
Index: 2712 | Uncertainty: 0.7036
Index: 38161 | Uncertainty: 0.7036
Index: 2616 | Uncertainty: 0.7026
Index: 43749 | Uncertainty: 0.7023
Index: 43926 | Uncertainty: 0.7019
Index: 49014 | Uncertainty: 0.7019
Index: 27891 | Uncertainty: 0.7016
Index: 8131 | Uncertainty: 0.7014
Index: 4981 | Uncertainty: 0.7013
Index: 11796 | Uncertainty: 0.7011
Index: 36467 | Uncertainty: 0.7010
Index: 47194 | Uncertainty: 0.7009
Index: 21663 | Uncertainty: 0.7004
Index: 2629 | Uncertainty: 0.7004
Index: 29622 | Uncertainty: 0.7002
Index: 48980 | Uncertainty: 0.6999
Index: 3636 | Uncertainty: 0.6998
Index: 3877 | Uncertainty: 0.6998
Index: 45206 | Uncertainty: 0.6997
Index: 47598 | Uncertainty: 0.6997
Index: 10397 | Uncertainty: 0.6996
Index: 40141 | Uncertainty: 0.6996
Index: 11203 | Uncertainty: 0.6994
Index: 8456 | Uncertainty: 0.6993
Index: 21167 | Uncertainty: 0.6989
Index: 8939 | Uncertainty: 0.6989
Index: 45250 | Uncertainty: 0.6988
Index: 17299 | Uncertainty: 0.6988
Index: 1040 | Uncertainty: 0.6988
Index: 36416 | Uncertainty: 0.6987
Index: 9768 | Uncertainty: 0.6983
Index: 5330 | Uncertainty: 0.6983
Index: 27459 | Uncertainty: 0.6982
Index: 23473 | Uncertainty: 0.6982
Index: 23472 | Uncertainty: 0.6982
Index: 43330 | Uncertainty: 0.6979
Index: 42617 | Uncertainty: 0.6979
Index: 34076 | Uncertainty: 0.6977
Index: 22597 | Uncertainty: 0.6975
Index: 38123 | Uncertainty: 0.6974
Index: 31702 | Uncertainty: 0.6973
Index: 4901 | Uncertainty: 0.6971
Index: 9254 | Uncertainty: 0.6970
Index: 35107 | Uncertainty: 0.6967
Index: 21885 | Uncertainty: 0.6965
Index: 29454 | Uncertainty: 0.6963
Index: 36573 | Uncertainty: 0.6963
Index: 29127 | Uncertainty: 0.6961
Index: 45323 | Uncertainty: 0.6959
Index: 2230 | Uncertainty: 0.6957
Index: 49531 | Uncertainty: 0.6956
Index: 42907 | Uncertainty: 0.6952
Index: 48206 | Uncertainty: 0.6951
Index: 1321 | Uncertainty: 0.6951
Index: 32733 | Uncertainty: 0.6950
Index: 21390 | Uncertainty: 0.6949
Index: 14584 | Uncertainty: 0.6946
Index: 19551 | Uncertainty: 0.6942
Index: 4888 | Uncertainty: 0.6942
Index: 12316 | Uncertainty: 0.6941
Index: 31873 | Uncertainty: 0.6939
Index: 16112 | Uncertainty: 0.6938
Index: 45150 | Uncertainty: 0.6938
Index: 10683 | Uncertainty: 0.6937
Index: 45375 | Uncertainty: 0.6936
Index: 12359 | Uncertainty: 0.6932
Index: 47798 | Uncertainty: 0.6930
Index: 8688 | Uncertainty: 0.6930
Index: 48649 | Uncertainty: 0.6929
Index: 28583 | Uncertainty: 0.6926
Index: 16294 | Uncertainty: 0.6925
Index: 6713 | Uncertainty: 0.6924
Index: 5161 | Uncertainty: 0.6921
Index: 2191 | Uncertainty: 0.6921
Index: 3446 | Uncertainty: 0.6920
Index: 34874 | Uncertainty: 0.6918
Index: 39797 | Uncertainty: 0.6916
Index: 25724 | Uncertainty: 0.6916
Index: 29891 | Uncertainty: 0.6915
Index: 16346 | Uncertainty: 0.6914
Index: 48813 | Uncertainty: 0.6913
Index: 19906 | Uncertainty: 0.6912
Index: 42830 | Uncertainty: 0.6912
Index: 47122 | Uncertainty: 0.6911
Index: 13619 | Uncertainty: 0.6911
Index: 38312 | Uncertainty: 0.6910
Index: 49202 | Uncertainty: 0.6909
Index: 26512 | Uncertainty: 0.6907
Index: 7107 | Uncertainty: 0.6904
Index: 3281 | Uncertainty: 0.6901
Index: 5749 | Uncertainty: 0.6901
Index: 21419 | Uncertainty: 0.6900
Index: 49605 | Uncertainty: 0.6899
Index: 1640 | Uncertainty: 0.6898
Index: 32169 | Uncertainty: 0.6898
Index: 33610 | Uncertainty: 0.6897
Index: 514 | Uncertainty: 0.6896
Index: 33765 | Uncertainty: 0.6895
Index: 5379 | Uncertainty: 0.6895
Index: 22312 | Uncertainty: 0.6893
Index: 13689 | Uncertainty: 0.6893
Index: 45064 | Uncertainty: 0.6892
Index: 10560 | Uncertainty: 0.6892
Index: 3464 | Uncertainty: 0.6892
Index: 16420 | Uncertainty: 0.6892
Index: 684 | Uncertainty: 0.6890
Index: 48368 | Uncertainty: 0.6888
Index: 45200 | Uncertainty: 0.6887
Index: 43743 | Uncertainty: 0.6886
Index: 345 | Uncertainty: 0.6886
Index: 36382 | Uncertainty: 0.6886
Index: 34566 | Uncertainty: 0.6885
Index: 45312 | Uncertainty: 0.6884
Index: 14019 | Uncertainty: 0.6880
Index: 11832 | Uncertainty: 0.6879
Index: 615 | Uncertainty: 0.6879
Index: 44326 | Uncertainty: 0.6879
Index: 26161 | Uncertainty: 0.6876
Index: 22631 | Uncertainty: 0.6875
Index: 3383 | Uncertainty: 0.6875
Index: 17412 | Uncertainty: 0.6874
Index: 30298 | Uncertainty: 0.6874
Index: 23687 | Uncertainty: 0.6872
Index: 9163 | Uncertainty: 0.6872
Index: 3872 | Uncertainty: 0.6870
Index: 35450 | Uncertainty: 0.6868
Index: 34702 | Uncertainty: 0.6868
Index: 398 | Uncertainty: 0.6865
Index: 10165 | Uncertainty: 0.6864
Index: 10999 | Uncertainty: 0.6859
Index: 12381 | Uncertainty: 0.6858
Index: 42849 | Uncertainty: 0.6857
