Index: 38407 | Uncertainty: 0.7425
Index: 28834 | Uncertainty: 0.7332
Index: 10788 | Uncertainty: 0.7269
Index: 18431 | Uncertainty: 0.7169
Index: 17328 | Uncertainty: 0.7120
Index: 9949 | Uncertainty: 0.6900
Index: 6246 | Uncertainty: 0.6887
Index: 31213 | Uncertainty: 0.6859
Index: 14520 | Uncertainty: 0.6842
Index: 9241 | Uncertainty: 0.6824
Index: 46479 | Uncertainty: 0.6800
Index: 40777 | Uncertainty: 0.6791
Index: 23696 | Uncertainty: 0.6780
Index: 33840 | Uncertainty: 0.6752
Index: 1211 | Uncertainty: 0.6724
Index: 34767 | Uncertainty: 0.6690
Index: 39315 | Uncertainty: 0.6685
Index: 28359 | Uncertainty: 0.6682
Index: 24291 | Uncertainty: 0.6661
Index: 24944 | Uncertainty: 0.6629
Index: 18096 | Uncertainty: 0.6625
Index: 38052 | Uncertainty: 0.6607
Index: 16314 | Uncertainty: 0.6595
Index: 390 | Uncertainty: 0.6590
Index: 1935 | Uncertainty: 0.6569
Index: 26612 | Uncertainty: 0.6563
Index: 40130 | Uncertainty: 0.6554
Index: 45811 | Uncertainty: 0.6545
Index: 10862 | Uncertainty: 0.6526
Index: 11151 | Uncertainty: 0.6475
Index: 44432 | Uncertainty: 0.6467
Index: 1352 | Uncertainty: 0.6455
Index: 3762 | Uncertainty: 0.6443
Index: 18042 | Uncertainty: 0.6439
Index: 29976 | Uncertainty: 0.6435
Index: 17579 | Uncertainty: 0.6431
Index: 17269 | Uncertainty: 0.6424
Index: 22238 | Uncertainty: 0.6415
Index: 43474 | Uncertainty: 0.6414
Index: 40487 | Uncertainty: 0.6412
Index: 28249 | Uncertainty: 0.6411
Index: 12940 | Uncertainty: 0.6388
Index: 10677 | Uncertainty: 0.6386
Index: 4433 | Uncertainty: 0.6386
Index: 22378 | Uncertainty: 0.6371
Index: 5773 | Uncertainty: 0.6365
Index: 42562 | Uncertainty: 0.6364
Index: 824 | Uncertainty: 0.6362
Index: 22555 | Uncertainty: 0.6340
Index: 9820 | Uncertainty: 0.6322
Index: 27430 | Uncertainty: 0.6308
Index: 36303 | Uncertainty: 0.6298
Index: 18384 | Uncertainty: 0.6291
Index: 18883 | Uncertainty: 0.6273
Index: 46350 | Uncertainty: 0.6260
Index: 8182 | Uncertainty: 0.6259
Index: 27234 | Uncertainty: 0.6256
Index: 30594 | Uncertainty: 0.6250
Index: 34029 | Uncertainty: 0.6247
Index: 7819 | Uncertainty: 0.6239
Index: 12246 | Uncertainty: 0.6234
Index: 14857 | Uncertainty: 0.6231
Index: 14841 | Uncertainty: 0.6221
Index: 25462 | Uncertainty: 0.6211
Index: 31963 | Uncertainty: 0.6200
Index: 43243 | Uncertainty: 0.6193
Index: 16380 | Uncertainty: 0.6190
Index: 44305 | Uncertainty: 0.6170
Index: 4803 | Uncertainty: 0.6169
Index: 15737 | Uncertainty: 0.6168
Index: 47472 | Uncertainty: 0.6167
Index: 11630 | Uncertainty: 0.6158
Index: 48937 | Uncertainty: 0.6157
Index: 33303 | Uncertainty: 0.6148
Index: 38602 | Uncertainty: 0.6142
Index: 49079 | Uncertainty: 0.6133
Index: 8149 | Uncertainty: 0.6130
Index: 23687 | Uncertainty: 0.6127
Index: 26136 | Uncertainty: 0.6122
Index: 2813 | Uncertainty: 0.6119
Index: 45404 | Uncertainty: 0.6105
Index: 37560 | Uncertainty: 0.6105
Index: 33954 | Uncertainty: 0.6100
Index: 40168 | Uncertainty: 0.6094
Index: 27648 | Uncertainty: 0.6094
Index: 29142 | Uncertainty: 0.6093
Index: 9943 | Uncertainty: 0.6071
Index: 27238 | Uncertainty: 0.6048
Index: 28355 | Uncertainty: 0.6042
Index: 42486 | Uncertainty: 0.6036
Index: 21790 | Uncertainty: 0.6031
Index: 22325 | Uncertainty: 0.6026
Index: 27176 | Uncertainty: 0.6026
Index: 40646 | Uncertainty: 0.6024
Index: 4651 | Uncertainty: 0.6023
Index: 23491 | Uncertainty: 0.6020
Index: 1767 | Uncertainty: 0.6017
Index: 42548 | Uncertainty: 0.6017
Index: 7734 | Uncertainty: 0.6012
Index: 14335 | Uncertainty: 0.6007
Index: 43936 | Uncertainty: 0.6003
Index: 30996 | Uncertainty: 0.6001
Index: 36569 | Uncertainty: 0.6000
Index: 5647 | Uncertainty: 0.5998
Index: 8355 | Uncertainty: 0.5996
Index: 4567 | Uncertainty: 0.5996
Index: 2987 | Uncertainty: 0.5987
Index: 1929 | Uncertainty: 0.5986
Index: 36789 | Uncertainty: 0.5986
Index: 32905 | Uncertainty: 0.5981
Index: 26309 | Uncertainty: 0.5980
Index: 45150 | Uncertainty: 0.5971
Index: 49256 | Uncertainty: 0.5960
Index: 47353 | Uncertainty: 0.5960
Index: 3075 | Uncertainty: 0.5956
Index: 40465 | Uncertainty: 0.5955
Index: 8466 | Uncertainty: 0.5944
Index: 36316 | Uncertainty: 0.5943
Index: 20201 | Uncertainty: 0.5937
