Index: 46671 | Uncertainty: 0.8602
Index: 2980 | Uncertainty: 0.8598
Index: 21342 | Uncertainty: 0.8594
Index: 10656 | Uncertainty: 0.8584
Index: 27198 | Uncertainty: 0.8576
Index: 43902 | Uncertainty: 0.8572
Index: 3987 | Uncertainty: 0.8572
Index: 49831 | Uncertainty: 0.8568
Index: 48953 | Uncertainty: 0.8563
Index: 34393 | Uncertainty: 0.8563
Index: 38007 | Uncertainty: 0.8557
Index: 41967 | Uncertainty: 0.8552
Index: 8396 | Uncertainty: 0.8549
Index: 44508 | Uncertainty: 0.8549
Index: 49001 | Uncertainty: 0.8542
Index: 43347 | Uncertainty: 0.8540
Index: 2383 | Uncertainty: 0.8540
Index: 38993 | Uncertainty: 0.8539
Index: 34649 | Uncertainty: 0.8538
Index: 21428 | Uncertainty: 0.8536
Index: 39730 | Uncertainty: 0.8530
Index: 2384 | Uncertainty: 0.8527
Index: 7711 | Uncertainty: 0.8523
Index: 32514 | Uncertainty: 0.8523
Index: 36366 | Uncertainty: 0.8521
Index: 32585 | Uncertainty: 0.8520
Index: 26165 | Uncertainty: 0.8519
Index: 13033 | Uncertainty: 0.8518
Index: 40117 | Uncertainty: 0.8516
Index: 18687 | Uncertainty: 0.8516
Index: 19460 | Uncertainty: 0.8516
Index: 21823 | Uncertainty: 0.8513
Index: 22300 | Uncertainty: 0.8512
Index: 44221 | Uncertainty: 0.8509
Index: 20813 | Uncertainty: 0.8502
Index: 26898 | Uncertainty: 0.8502
Index: 47506 | Uncertainty: 0.8502
Index: 13342 | Uncertainty: 0.8501
Index: 31975 | Uncertainty: 0.8501
Index: 30488 | Uncertainty: 0.8501
Index: 20643 | Uncertainty: 0.8499
Index: 48868 | Uncertainty: 0.8498
Index: 47230 | Uncertainty: 0.8497
Index: 9010 | Uncertainty: 0.8495
Index: 36982 | Uncertainty: 0.8495
Index: 26592 | Uncertainty: 0.8493
Index: 7299 | Uncertainty: 0.8491
Index: 11289 | Uncertainty: 0.8491
Index: 13974 | Uncertainty: 0.8490
Index: 9023 | Uncertainty: 0.8487
Index: 28082 | Uncertainty: 0.8487
Index: 19014 | Uncertainty: 0.8487
Index: 48541 | Uncertainty: 0.8483
Index: 34478 | Uncertainty: 0.8482
Index: 46474 | Uncertainty: 0.8481
Index: 46349 | Uncertainty: 0.8479
Index: 3028 | Uncertainty: 0.8478
Index: 15439 | Uncertainty: 0.8477
Index: 716 | Uncertainty: 0.8477
Index: 45927 | Uncertainty: 0.8476
Index: 37147 | Uncertainty: 0.8476
Index: 7257 | Uncertainty: 0.8476
Index: 21544 | Uncertainty: 0.8475
Index: 10466 | Uncertainty: 0.8475
Index: 24792 | Uncertainty: 0.8475
Index: 1264 | Uncertainty: 0.8475
Index: 10386 | Uncertainty: 0.8473
Index: 22867 | Uncertainty: 0.8473
Index: 34705 | Uncertainty: 0.8472
Index: 43727 | Uncertainty: 0.8472
Index: 8578 | Uncertainty: 0.8471
Index: 28219 | Uncertainty: 0.8471
Index: 35391 | Uncertainty: 0.8470
Index: 1714 | Uncertainty: 0.8469
Index: 11979 | Uncertainty: 0.8466
Index: 46494 | Uncertainty: 0.8466
Index: 38875 | Uncertainty: 0.8464
Index: 34693 | Uncertainty: 0.8463
Index: 30187 | Uncertainty: 0.8463
Index: 49717 | Uncertainty: 0.8459
Index: 2218 | Uncertainty: 0.8458
Index: 18472 | Uncertainty: 0.8458
Index: 49 | Uncertainty: 0.8457
Index: 8073 | Uncertainty: 0.8455
Index: 27490 | Uncertainty: 0.8455
Index: 19778 | Uncertainty: 0.8454
Index: 44259 | Uncertainty: 0.8454
Index: 1014 | Uncertainty: 0.8454
Index: 19703 | Uncertainty: 0.8453
Index: 38367 | Uncertainty: 0.8452
Index: 49709 | Uncertainty: 0.8451
Index: 35289 | Uncertainty: 0.8451
Index: 39221 | Uncertainty: 0.8451
Index: 2370 | Uncertainty: 0.8451
Index: 39864 | Uncertainty: 0.8450
Index: 26585 | Uncertainty: 0.8448
Index: 47052 | Uncertainty: 0.8448
Index: 49246 | Uncertainty: 0.8447
Index: 25759 | Uncertainty: 0.8447
Index: 17797 | Uncertainty: 0.8446
